Oligo_ID	Symbol v12
hCP000286	RPL13A
hCP000287	UBC
hCP000288	ACTB
hCP000289	B2M
hCP000290	GAPDH
hCP000291	YWHAZ
hCP000292	SDHA
hCP000293	HMBS
hCP000294	B2M
hCP000295	GAPDH
hCP000296	YWHAZ
hCP000297	SDHA
hCP000298	HMBS
hCP000299	B2M
hCP000300	GAPDH
hCP000301	YWHAZ
hCP000302	SDHA
hCP000303	HMBS
hCP000304	B2M
hCP000305	GAPDH
hCP000306	YWHAZ
hCP000307	SDHA
hCP000308	HMBS
hCP000309	B2M
hCP000310	GAPDH
hCP000311	YWHAZ
hCP000312	SDHA
hCP000313	UBC
hCP000314	ACTB
hCP000315	TBP
hCP000316	HPRT1
hCP000317	RPL13A
hCP000318	UBC
hCP000319	ACTB
hCP000320	TBP
hCP000321	HPRT1
hCP000322	RPL13A
hCP000323	UBC
hCP000324	ACTB
hCP000325	TBP
hCP000326	HPRT1
hCP000327	RPL13A
hCP000328	UBC
hCP000329	ACTB
hCP000330	TBP
hCP000331	HPRT1
hCP000332	RPL13A
hCP000333	UBC
hCP000334	ACTB
hCP000335	TBP
hCP000336	HPRT1
hCP000337	YWHAZ
hCP000338	SDHA
hCP000339	HMBS
hCP000340	B2M
hCP000341	GAPDH
hCP000342	YWHAZ
hCP000343	SDHA
hCP000344	HMBS
hCP000345	B2M
hCP000346	GAPDH
hCP000347	YWHAZ
hCP000348	SDHA
hCP000349	HMBS
hCP000350	B2M
hCP000351	GAPDH
hCP000352	YWHAZ
hCP000353	SDHA
hCP000354	HMBS
hCP000355	B2M
hCP000356	GAPDH
hCP000357	YWHAZ
hCP000358	SDHA
hCP000359	HMBS
hCP000360	B2M
hCP000361	TBP
hCP000362	HPRT1
hCP000363	RPL13A
hCP000364	UBC
hCP000365	ACTB
hCP000366	TBP
hCP000367	HPRT1
hCP000368	RPL13A
hCP000369	UBC
hCP000370	ACTB
hCP000371	TBP
hCP000372	HPRT1
hCP000373	RPL13A
hCP000374	UBC
hCP000375	ACTB
hCP000376	TBP
hCP000377	HPRT1
hCP000378	RPL13A
hCP000379	UBC
hCP000380	ACTB
hCP000381	TBP
hCP000382	HPRT1
hCP000383	RPL13A
hCP000384	UBC
hCP000385	HMBS
hCP000386	B2M
hCP000387	GAPDH
hCP000388	YWHAZ
hCP000389	SDHA
hCP000390	HMBS
hCP000391	B2M
hCP000392	GAPDH
hCP000393	YWHAZ
hCP000394	SDHA
hCP000395	HMBS
hCP000396	B2M
hCP000397	GAPDH
hCP000398	YWHAZ
