Probe_ID	Gene_Symbol
11715325_at	VSTM5
11715326_s_at	VSTM5
11715327_x_at	CBWD1
11715328_at	SPATA31D3
11715329_at	SLC6A15
11715330_x_at	ZNF735
11715331_x_at	DSN1
11715332_at	NXNL2
11715333_s_at	NXNL2
11715334_s_at	NXNL2
11715335_at	OR6P1
11715336_x_at	SP9
11715337_s_at	GH1
11715338_s_at	DCAF12L2
11715339_at	TTN
11715340_s_at	CT47A1
11715341_at	MROH9
11715342_at	BRI3
11715343_at	MUC16
11715344_at	GSTP1
11715345_s_at	ADAMTS15
11715346_at	EBI3
11715347_s_at	HBB
11715348_x_at	HBB
11715349_a_at	COX7C
11715350_a_at	COL1A1
11715351_at	COL1A1
11715352_x_at	COL1A1
11715353_s_at	COL1A2
11715354_a_at	COL1A2
11715355_at	COL1A2
11715356_x_at	COL1A2
11715357_s_at	RPS21
11715358_x_at	CST3
11715359_a_at	TIMP1
11715360_x_at	TIMP1
11715361_a_at	ATP6V0E1
11715362_at	ATP6V0E1
11715363_a_at	A2M
11715364_a_at	SPDEF
11715365_x_at	SPDEF
11715366_a_at	SEPT2
11715367_s_at	SEPT2
11715368_a_at	SERPING1
11715369_s_at	NDUFA4
11715370_s_at	LGALS3BP
11715371_a_at	UBA1
11715372_a_at	MDH1
11715373_a_at	TRIM28
11715374_a_at	CALR
11715375_x_at	CALR
11715376_a_at	RPS11
11715377_x_at	COX4I1
11715378_x_at	TG
11715379_a_at	LAPTM4B
11715380_s_at	LAPTM4B
11715381_a_at	LAPTM4B
11715382_x_at	PLD3
11715383_a_at	PHB2
11715384_x_at	PHB2
11715385_s_at	C4orf46
11715386_at	REG1A
11715387_at	CDKN1A
11715388_s_at	CDKN1A
11715389_x_at	FKBP1A
11715390_s_at	FKBP1A
11715391_s_at	MTCH1
11715392_x_at	MTCH1
11715393_a_at	C3
11715394_s_at	CD81
11715395_a_at	BLOC1S5-TXNDC5
11715396_s_at	BLOC1S5-TXNDC5
11715397_x_at	MAGED2
11715398_a_at	APEX1
11715399_at	SLC25A5
11715400_x_at	SLC25A5
11715401_s_at	ILF2
11715402_x_at	ILF2
11715403_a_at	COL6A1
11715404_a_at	COL6A1
11715405_x_at	COL6A1
11715406_a_at	COL6A1
11715407_s_at	PSMB4
11715408_x_at	PSMB4
11715409_a_at	PRDX2
11715410_x_at	PRDX2
11715411_a_at	EPAS1
11715412_a_at	EPAS1
11715413_s_at	TSC22D1
11715414_x_at	COL3A1
11715415_a_at	COL3A1
11715416_s_at	DDB1
11715417_s_at	SKP1
11715418_x_at	SKP1
11715419_at	LY6E
11715420_a_at	CCT2
11715421_a_at	CCT2
11715422_a_at	BCAP31
11715423_s_at	BCAP31
11715424_x_at	BCAP31
11715425_x_at	FLNA
11715426_s_at	SNU13
11715427_at	SNU13
11715428_x_at	ARF4
11715429_s_at	ARF4
11715430_a_at	AKR1B1
11715431_a_at	TMBIM1
11715432_a_at	TMBIM1
11715433_a_at	RBBP7
11715434_a_at	PDIA6
11715435_s_at	TIMP3
11715436_at	TIMP3
11715437_at	TIMP3
11715438_at	DAP
11715439_at	DAP
11715440_a_at	CTGF
11715441_a_at	CTGF
11715442_s_at	CTGF
11715443_a_at	CPB1
11715444_at	CPB1
11715445_a_at	DNAJB1
11715446_a_at	DNAJB1
11715447_at	TALDO1
11715448_at	ERGIC3
11715449_x_at	ERGIC3
11715450_at	RPL10
11715451_a_at	COL4A2
11715452_s_at	COL4A2
11715453_a_at	COL4A2
11715454_at	KISS1
11715455_x_at	KISS1
11715456_a_at	SSR2
11715457_x_at	SSR2
11715458_a_at	COX8A
11715459_x_at	COX8A
11715460_a_at	DHCR24
11715461_at	LYZ
11715462_x_at	LYZ
11715463_s_at	IGFBP4
11715464_x_at	IGFBP4
11715465_at	IGFBP4
11715466_at	ARHGDIB
11715467_s_at	ARHGDIB
11715468_at	TUFM
11715469_s_at	TXN
11715470_x_at	TXN
11715471_a_at	SRPR
11715472_a_at	SRPR
11715473_at	SRPR
11715474_at	DDX17
11715475_a_at	DDX17
11715476_s_at	DDX17
11715477_at	TFRC
11715478_a_at	TFRC
11715479_a_at	GABARAP
11715480_x_at	GABARAP
11715481_a_at	SST
11715482_a_at	MCL1
11715483_s_at	MCL1
11715484_a_at	MCL1
11715485_a_at	MCL1
11715486_x_at	MCL1
11715487_a_at	MCL1
11715488_s_at	PGRMC1
11715489_a_at	PGRMC1
11715490_s_at	AMY1A
11715491_s_at	FSCN1
11715492_s_at	MORF4L1
11715493_a_at	CYR61
11715494_s_at	HBG1
11715495_a_at	RPS25
11715496_a_at	CTSK
11715497_a_at	OXA1L
11715498_a_at	OXA1L
11715499_x_at	CBX3
11715500_s_at	TARDBP
11715501_s_at	IGFBP7
11715502_x_at	RPL18A
11715503_a_at	LASP1
11715504_a_at	LASP1
11715505_a_at	IARS
11715506_a_at	MAGED1
11715507_s_at	MAGED1
11715508_x_at	MFGE8
11715509_a_at	NDFIP1
11715510_s_at	NDFIP1
11715511_x_at	NDFIP1
11715512_s_at	NDFIP1
11715513_s_at	NDFIP1
11715514_a_at	HERPUD1
11715515_a_at	PSMD3
11715516_x_at	PSMD3
11715517_s_at	SLC25A39
11715518_a_at	MLEC
11715519_a_at	MLEC
11715520_at	MLEC
11715521_a_at	MLEC
11715522_a_at	HADHA
11715523_a_at	HADHA
11715524_a_at	COTL1
11715525_a_at	ATP6V1G2-DDX39B
11715526_s_at	ATP6V1G2-DDX39B
11715527_x_at	ATP6V1G2-DDX39B
11715528_a_at	ATP6V1G2-DDX39B
11715529_x_at	ATP6V1G2-DDX39B
11715530_a_at	CCT6A
11715531_at	PRPF8
11715532_a_at	IFNGR2
11715533_a_at	LRP1
11715534_a_at	LRP1
11715535_a_at	GPS1
11715536_a_at	IDH2
11715537_x_at	IDH2
11715538_s_at	RPLP1
11715539_x_at	RPLP1
11715540_s_at	RPS14
11715541_a_at	THY1
11715542_s_at	THY1
11715543_x_at	RPS8
11715544_a_at	TMED10
11715545_at	TMED10
11715546_s_at	CBX1
11715547_at	TMEM109
11715548_a_at	DAG1
11715549_at	DAG1
11715550_at	DAG1
11715551_s_at	GAS6
11715552_a_at	IMMT
11715553_s_at	IMMT
11715554_a_at	CYB5R3
11715555_a_at	CYB5R3
11715556_a_at	QSOX1
11715557_at	FLJ23867
11715558_a_at	TMEM59
11715559_x_at	YWHAQ
11715560_s_at	PGA3
