feature_id	BS975181	BS975182	BS975183	BS975184	BS975185	BS975186	BS975187	BS975188	BS975189	BS975190	BS975191	BS975192
1007_s_at	6.03892608333333	5.70145083333333	5.86025308333333	5.54134133333333	6.16413041666667	5.99459833333333	5.98842741666667	5.91488033333333	5.92950783333333	6.65709066666667	6.48122658333333	5.85046383333333
1053_at	6.03604108333333	6.43920475	6.36871458333333	6.74992358333333	6.40939733333333	6.48518	6.3219425	6.29340283333333	6.37018516666667	6.35709333333333	6.35983783333333	6.45775691666667
117_at	6.392038	6.85704808333333	7.0438015	6.13337575	6.80896483333333	7.28426008333333	6.79516233333333	7.37557958333333	7.26838658333333	7.551936	7.1277635	6.71953308333333
121_at	7.33320783333333	7.08195258333333	7.05029183333333	7.06402483333333	7.00925516666667	7.13733391666667	7.02151091666667	6.847498	6.88187066666667	7.11410433333333	7.630104	6.92031275
1255_g_at	3.5010965	3.62161733333333	3.368271	3.41831283333333	3.53944741666667	3.60998833333333	3.39972116666667	3.50786833333333	3.50370475	3.656188	3.56915241666667	3.50370475
1294_at	8.44689708333333	8.14651225	8.27501066666667	8.485884	8.47982841666667	8.39993066666667	8.29078691666667	8.22057741666667	8.286098	8.46486483333333	9.03634475	8.51870866666667
1316_at	5.60576808333333	5.28881925	5.273368	5.29818341666667	5.39969408333333	5.52112825	5.34359358333333	5.35441733333333	5.2910245	5.51480258333333	5.81964225	5.32977116666667
1320_at	4.264339	4.39717208333333	4.47981183333333	4.55431108333333	4.30411925	4.36036166666667	4.51925758333333	4.55379441666667	4.35952991666667	4.4763475	4.52621791666667	4.4829645
1405_i_at	11.85902725	11.1779971666667	11.85902725	10.3676406666667	12.0474361666667	11.9922190833333	12.1029591666667	11.3476573333333	11.4629106666667	11.8915194166667	12.3619940833333	12.054189
1431_at	3.78515133333333	3.72923408333333	3.98171758333333	4.62150591666667	3.83388625	3.82741741666667	3.66502108333333	3.86347308333333	3.77509883333333	3.65416833333333	3.94726966666667	3.82114533333333
1438_at	4.58179366666667	4.91106858333333	4.68610566666667	4.62521766666667	4.59343941666667	4.774608	4.54351683333333	4.69540616666667	4.85016966666667	4.64416175	4.98785958333333	4.69312441666667
1487_at	6.8116285	6.81518425	6.58207891666667	6.4227235	6.88415983333333	6.73117458333333	6.61037791666667	6.97645925	7.06231075	6.89554166666667	6.72126041666667	6.85052158333333
1494_f_at	4.703966	4.74200025	4.94279675	4.61326208333333	4.71420425	4.55632858333333	4.68673975	4.89741041666667	4.63642583333333	4.6652265	4.92249791666667	4.66183566666667
1598_g_at	7.13133491666667	6.92609516666667	7.14486666666667	6.73416208333333	7.19097991666667	7.19355383333333	6.88106683333333	7.05509433333333	7.08735583333333	7.257523	7.38001	7.04533283333333
160020_at	6.14418725	5.65773058333333	5.88446141666667	5.97750775	5.79679591666667	5.7789815	5.93933583333333	5.84295208333333	5.61345225	5.92033566666667	6.34770633333333	5.85402266666667
1729_at	8.96604433333333	8.94684775	8.67808475	8.03113941666667	8.68019741666667	8.77587858333333	8.66084675	8.62925875	8.42464633333333	8.34778241666667	8.88874041666667	8.54475308333333
1773_at	5.25514066666667	5.31574175	5.28305175	5.53526575	5.33435283333333	5.52172866666667	6.42356658333333	5.03573333333333	4.794864	5.12948625	5.53123508333333	5.4714225
177_at	4.18856908333333	4.20996858333333	4.2048285	4.42755083333333	4.29869108333333	4.32387858333333	4.3421365	4.41223991666667	4.42797391666667	4.37278133333333	4.26972466666667	4.27446958333333
179_at	7.93342925	7.58528308333333	7.595133	7.57406491666667	7.75813183333333	7.81758566666667	7.7610825	7.67055825	7.69836566666667	7.77478708333333	8.2320845	7.8538835
1861_at	5.52564166666667	5.80236983333333	5.91193533333333	5.93933583333333	5.75413833333333	5.84815166666667	5.63228275	5.8211055	5.698107	5.72845691666667	5.88953816666667	5.67074133333333
200594_x_at	10.5855104166667	10.3101865	10.5946569166667	10.7837474166667	10.452015	10.35532625	10.5501128333333	10.4642714166667	10.31520925	10.4168125833333	10.0770145	10.5219
200595_s_at	10.174252	10.2641919166667	10.06992225	9.81600233333333	10.24082475	10.21138225	10.1143114166667	10.207957	10.2876690833333	10.20921025	9.70026108333333	10.13846875
200596_s_at	9.49079233333333	9.25906908333333	9.07371825	8.719062	9.00218	8.92058825	9.05103516666667	9.11250883333333	9.0227025	8.89838633333333	8.77388533333333	9.08893158333333
200597_at	7.87053066666667	8.01961508333333	8.2095135	7.82485583333333	8.00129225	7.9088895	7.99926783333333	8.02416608333333	8.06047141666667	8.15893641666667	7.61530641666667	7.75301041666667
200598_s_at	8.37842991666667	8.814882	9.16077075	9.37878308333333	8.48415366666667	8.74166158333333	9.11815775	9.20464316666667	8.60153691666667	7.90613	8.47204366666667	9.25906908333333
200599_s_at	11.007284	10.70722425	11.2851379166667	11.3205903333333	11.0739689166667	10.6842061666667	10.9339954166667	11.6290671666667	11.30111675	11.2307441666667	10.64569175	11.3205903333333
200600_at	11.70592825	11.5713233333333	11.4581154166667	11.2500945833333	11.6368578333333	11.6668708333333	11.5783345833333	11.6368578333333	11.4934389166667	11.6739649166667	10.9968430833333	11.6503914166667
200602_at	7.94585275	8.27608575	8.20769775	6.44164891666667	7.90018116666667	8.066429	7.74617825	7.93342925	8.34156316666667	8.739547	8.02110066666667	7.83261066666667
200603_at	10.9921505	11.0344870833333	11.0843359166667	11.10606775	11.2851379166667	11.5265601666667	11.0344870833333	11.17170725	11.2500945833333	11.42137025	11.1779971666667	11.30111675
200604_s_at	7.89477316666667	9.05302775	8.54557383333333	9.43497016666667	8.1360415	9.14486866666667	8.97574208333333	8.17372366666667	7.81283333333333	7.59316975	8.73565408333333	8.8011505
200605_s_at	10.6509605	10.79735475	10.66522375	10.6912578333333	10.8110425833333	11.0592358333333	10.7600155833333	10.7375435833333	10.5748745833333	10.5581430833333	10.6577505833333	10.8781355
200606_at	3.27262058333333	3.401893	3.52575883333333	3.39339025	3.34992875	3.48755133333333	4.8453915	3.45616025	3.47599166666667	3.4870175	5.07419308333333	3.90787991666667
200607_s_at	8.52283683333333	8.85880016666667	8.59664966666667	8.90104279166667	8.19783983333333	8.7145185	8.925092	8.32667991666667	8.04489033333333	7.70875816666667	8.26807233333333	8.6602255
200608_s_at	10.4320884166667	10.3605379166667	10.179208	10.1583600833333	10.43568975	10.70471125	10.34811325	10.2823260833333	10.1864454166667	10.3825765833333	10.1946819166667	10.3605379166667
200609_s_at	11.3205903333333	11.2086476666667	11.17170725	11.0210376666667	11.17170725	11.1124544166667	11.2138441666667	10.9816720833333	11.0843359166667	11.0592358333333	11.42137025	11.1779971666667
200610_s_at	10.6764051666667	10.5563304166667	10.3262276666667	11.1568173333333	10.5946569166667	10.5638168333333	10.6509605	10.6550750833333	10.5918998333333	10.504935	10.2701235833333	10.7144196666667
200611_s_at	10.4410971666667	10.2945066666667	10.3825765833333	9.95304741666667	10.33848825	10.36481775	10.3303564166667	10.0990995	10.1163215	9.917884	10.5341251666667	10.4669714166667
200612_s_at	8.10018766666667	8.84077633333333	9.02015725	8.75507225	8.53374125	8.02904958333333	8.63139116666667	8.87922741666667	8.5835625	8.99525408333333	8.28653116666667	8.56453733333333
200613_at	9.72168358333333	9.79186775	9.6364245	9.95799745833333	9.51995241666667	9.57557825	9.51019308333333	9.61590233333333	9.52132308333333	9.52909341666667	9.716811	9.647115
200614_at	10.7649715833333	10.7305963333333	10.7523875	10.9761945833333	10.901852	10.741471	10.7349740833333	11.0344870833333	10.9603944166667	11.01782925	10.61642725	10.8868819166667
200615_s_at	6.69088508333333	7.36255891666667	7.16541508333333	7.56454866666667	6.7001975	6.93393133333333	7.40394933333333	7.00854016666667	6.58207891666667	7.08251366666667	6.73534141666667	7.19583025
200616_s_at	6.81935691666667	7.14584879166667	7.2499425	7.86049416666667	6.97511208333333	6.73224583333333	6.68634883333333	7.20302858333333	6.90472025	7.00689333333333	6.508869	7.07450891666667
200617_at	7.58422008333333	7.26041008333333	7.61315133333333	8.68549533333333	7.61861933333333	7.47535958333333	7.258783	7.83647483333333	7.787528	7.75769858333333	7.51415066666667	7.68724633333333
200619_at	9.23770883333333	9.03346208333333	9.119696	8.89529558333333	9.17096908333333	8.88441675	9.05191025	9.08026125	9.00218	9.17838633333333	9.091644	9.06830141666667
200621_at	8.53901616666667	8.79557033333333	8.44841791666667	8.19626691666667	8.62925875	8.22057741666667	8.478972	8.39755691666667	8.47139725	8.71087616666667	8.32923541666667	8.42464633333333
200622_x_at	9.647115	9.84868666666667	9.69538016666667	9.48435525	9.74080433333333	9.40972741666667	9.50554616666667	9.54063658333333	9.2990335	9.52305516666667	10.47271975	9.49293583333333
200624_s_at	10.1291741666667	10.3908356666667	10.25070675	10.8024805833333	10.179208	10.4579493333333	10.4094880833333	10.2312709166667	10.1357310833333	9.81527966666667	10.2048394166667	9.97353108333333
200626_s_at	10.662802	10.8296446666667	10.890426	11.33464625	10.6806450833333	10.914883	10.8413363333333	10.8486774166667	10.7837474166667	10.6479579166667	10.5563304166667	10.7915394166667
200627_at	11.5220451666667	11.55576575	11.5783345833333	11.7979625	11.4629106666667	11.3785215833333	11.5069033333333	11.3996581666667	11.4875091666667	11.3720750833333	11.30111675	11.4629106666667
