Probe_ID	Gene_Symbol
merck2-AA602384_at	AQP2
merck2-AA604617_at	ZNF512
merck2-AA614384_at	SOD1
merck2-AA621382_at	CYB5B
merck2-AA621986_a_at	TMEM50A
merck2-AA634441_a_at	REEP1
merck2-AA648256_at	SLC9B2
merck2-AA652310_at	CALM1
merck2-AA663088_at	ANTXR1
merck2-AA664657_x_at	VIM
merck2-AA670216_at	APBA1
merck2-AA687968_at	SPTY2D1
merck2-AA687968_x_at	SPTY2D1
merck2-AA693422_at	CAMK2D
merck2-AA693422_x_at	CAMK2D
merck2-AA693424_a_at	TRIM50
merck2-AA699463_at	PRNP
merck2-AA702700_at	AADAC
merck2-AA706724_at	CD109
merck2-AA707145_a_at	NSD2
merck2-AA721239_at	GLIPR1
merck2-AA722606_at	RBFOX2
merck2-AA722645_at	SOX2
merck2-AA723953_at	SGCD
merck2-AA724878_a_at	PRPSAP1
merck2-AA729218_at	KDM5B
merck2-AA729218_x_at	KDM5B
merck2-AA732461_at	HIPK3
merck2-AA740325_a_at	GNB1
merck2-AA742979_at	FAM91A1
merck2-AA742979_x_at	FAM91A1
merck2-AA743020_at	EGLN1
merck2-AA743174_at	CLINT1
merck2-AA745982_a_at	FAS
merck2-AA748830_at	NIPA2
merck2-AA758689_at	SKIL
merck2-AA759283_at	IL1R1
merck2-AA760692_at	MAP2
merck2-AA766554_a_at	OSBPL11
merck2-AA769079_at	BRD3OS
merck2-AA771801_at	HSF1
merck2-AA771882_a_at	SDCBP
merck2-AA772239_at	LPL
merck2-AA776725_a_at	RANGAP1
merck2-AA776845_a_at	TRIM23
merck2-AA778837_at	CYFIP1
merck2-AA780043_at	UBE3B
merck2-AA781305_at	ARL3
merck2-AA781420_at	NAE1
merck2-AA782125_at	NEURL1
merck2-AA782950_at	WDR27
merck2-AA805066_at	SHOC2
merck2-AA805066_x_at	SHOC2
merck2-AA805639_at	CD72
merck2-AA806102_at	TTC39C
merck2-AA806194_at	THAP4
merck2-AA806703_at	UBE2F
merck2-AA807384_at	DNAJC18
merck2-AA811590_at	PPWD1
merck2-AA812559_at	WBP2NL
merck2-AA812732_at	ATXN7L1
merck2-AA815447_at	CACNA2D3
merck2-AA825724_at	ADGRF3
merck2-AA826281_x_at	ABCA1
merck2-AA826860_at	NDE1
merck2-AA827918_at	RASSF2
merck2-AA830380_at	DTX2
merck2-AA830837_at	SSH2
merck2-AA831467_at	ARHGAP5
merck2-AA832284_a_at	UBE2J1
merck2-AA843323_at	MDH1
merck2-AA843508_a_at	LAPTM4B
merck2-AA843660_at	PTH
merck2-AA860312_at	GINS1
merck2-AA860771_a_at	TSPAN31
merck2-AA861047_at	PDXK
merck2-AA861047_x_at	PDXK
merck2-AA868205_at	B4GALNT3
merck2-AA868902_at	FKBP5
merck2-AA876220_a_at	CAPZB
merck2-AA878516_at	PUS10
merck2-AA883551_at	METTL21A
merck2-AA883551_x_at	METTL21A
merck2-AA884338_at	ADAT2
merck2-AA885509_at	PTPN21
merck2-AA886921_at	ZNF512B
merck2-AA886986_at	BLVRA
merck2-AA888002_at	ARHGEF37
merck2-AA902600_at	PAM
merck2-AA902949_at	GLIPR1
merck2-AA906494_x_at	WDFY3
merck2-AA909269_at	AFF2
merck2-AA910310_at	LINC01187
merck2-AA913220_at	ARIH2
merck2-AA916835_at	DNAL1
merck2-AA922696_at	MDGA1
merck2-AA922894_at	SPATA5
merck2-AA927291_s_at	NUDT3
merck2-AA927776_a_at	ZNF516
merck2-AA934899_at	PPM1A
merck2-AA937590_a_at	DAPK2
merck2-AA938182_at	CCNG2
merck2-AA939275_at	ACACA
merck2-AA947213_at	MTPAP
merck2-AA947758_at	B3GLCT
merck2-AA962226_a_at	PRKAG2
merck2-AA962843_at	PPIP5K1
merck2-AA971088_at	LRRC41
merck2-AA975393_a_at	FGFR2
merck2-AA977539_at	PDK2
merck2-AA983661_at	RUNX2
merck2-AA988555_a_at	ATP1B3
merck2-AAC24853_at	TMEM35A
merck2-AAC24853_x_at	TMEM35A
merck2-AAH30461_at	RAP1GDS1
merck2-AAI91885_at	MOBP
merck2-AAV19137_at	MC2R
merck2-AB001915_at	DDAH1
merck2-AB002134_at	TMPRSS11D
merck2-AB002303_at	ZFYVE16
merck2-AB002310_at	HUWE1
merck2-AB002370_at	TTC37
merck2-AB002803_at	BACH1
merck2-AB003063_at	DPYD
merck2-AB004574_at	DNASE2
merck2-AB004662_at	ADORA1
merck2-AB006572_at	URI1
merck2-AB006626_at	HDAC4
merck2-AB006651_at	MED14
merck2-AB007872_at	ZNF264
merck2-AB007932_at	PLXNA2
merck2-AB008430_at	FARP1
merck2-AB011084_at	ARMCX2
merck2-AB011111_at	URB1
merck2-AB011175_at	TBC1D4
merck2-AB011182_at	SPART
merck2-AB011420_a_at	STK17A
merck2-AB012575_a_at	SS18
merck2-AB012958_at	UVRAG
merck2-AB014516_at	CRTC1
merck2-AB014543_at	CLUAP1
merck2-AB014565_at	RAB11FIP3
merck2-AB014584_a_at	UBE4B
merck2-AB014603_at	ATP2C2
merck2-AB015982_at	PRKD3
merck2-AB016068_at	ZMPSTE24
merck2-AB016840_at	CRNKL1
merck2-AB016901_at	LINC01558
merck2-AB017016_at	TPPP
merck2-AB017505_at	TP53RK
merck2-AB018256_at	SNX13
merck2-AB018267_at	IPO13
merck2-AB018284_at	EIF5B
merck2-AB018332_at	WSCD2
merck2-AB019410_at	GATB
merck2-AB019573_at	HOPX
merck2-AB020636_at	CAND1
merck2-AB021638_a_at	APBA3
merck2-AB021660_at	CA5B
merck2-AB022192_at	PEX13
merck2-AB022434_at	SEMA6C
merck2-AB022718_at	DEPP1
merck2-AB022918_at	ST3GAL6
merck2-AB023136_at	EXOC6B
merck2-AB023213_at	DZIP1
merck2-AB024568_a_at	HS2ST1
merck2-AB026256_at	SLCO2B1
merck2-AB026722_s_at	PPA2
merck2-AB027133_at	GOLGA3
merck2-AB027249_at	PBK
merck2-AB028019_at	LATS2
merck2-AB028069_at	DBF4
merck2-AB028069_s_at	DBF4
merck2-AB028127_at	PIGM
merck2-AB028960_at	WDTC1
merck2-AB028973_s_at	PCMTD2
merck2-AB028993_at	NLGN1
merck2-AB028995_at	PPM1E
merck2-AB029022_at	AGAP1
merck2-AB029028_at	FAM208A
merck2-AB029290_at	MACF1
merck2-AB030654_at	AP4S1
merck2-AB030656_at	CORO1C
merck2-AB030834_at	ELOA2
merck2-AB033007_a_at	ERGIC1
merck2-AB033049_at	ANKRD50
merck2-AB033115_at	BIRC6
merck2-AB033129_at	THEG
merck2-AB036432_at	AGER
