Probe_ID	Gene_Symbol
METTL25	METTL25
RP11-20I23.6	RP11-20I23.6
THOC3	THOC3
AHI1	AHI1
SNX27	SNX27
AC084117.3	AC084117.3
MRPL13	MRPL13
RTDR1	RTDR1
TERF2	TERF2
RP11-439L8.3	RP11-439L8.3
TRPM2	TRPM2
GFI1	GFI1
IL13RA1	IL13RA1
CALU	CALU
ARHGAP1	ARHGAP1
BMI1	BMI1
AC113208.1	AC113208.1
TMSB10	TMSB10
SLC10A1	SLC10A1
RP11-192H23.4	RP11-192H23.4
B3GNT1	B3GNT1
RP11-281P23.1	RP11-281P23.1
RN7SKP271	RN7SKP271
THOC6	THOC6
RGP1	RGP1
RP5-991C6.3	RP5-991C6.3
RP11-273B20.1	RP11-273B20.1
PTBP3	PTBP3
ZKSCAN5	ZKSCAN5
VTI1B	VTI1B
RNU4-50P	RNU4-50P
CBX1	CBX1
C6orf203	C6orf203
COL4A3BP	COL4A3BP
LINC00327	LINC00327
OPA1-AS1	OPA1-AS1
FZD7	FZD7
EFNB2	EFNB2
MIR5094	MIR5094
DVL1	DVL1
BET1	BET1
C1QL3	C1QL3
CPAMD8	CPAMD8
MFSD7	MFSD7
RP11-96K19.2	RP11-96K19.2
SRGAP3	SRGAP3
PPT1	PPT1
TGDS	TGDS
RP11-572M11.4	RP11-572M11.4
OCEL1	OCEL1
DEPTOR	DEPTOR
RAE1	RAE1
VRK3	VRK3
CRY2	CRY2
RP11-459I19.1	RP11-459I19.1
GSTZ1	GSTZ1
AC074286.1	AC074286.1
DPYD-AS2	DPYD-AS2
NEBL	NEBL
RNF41	RNF41
TUBA1C	TUBA1C
CCNT2	CCNT2
MSH6	MSH6
RP11-461A8.4	RP11-461A8.4
C6orf1	C6orf1
PLCG2	PLCG2
CC2D1B	CC2D1B
RP11-1109F11.3	RP11-1109F11.3
POLR2B	POLR2B
RP11-426L16.8	RP11-426L16.8
GPAT2	GPAT2
PVRL4	PVRL4
FAM102B	FAM102B
GPD2	GPD2
RP11-1082L8.3	RP11-1082L8.3
CTNNA1	CTNNA1
AC084018.1	AC084018.1
RP11-22N19.2	RP11-22N19.2
AC097500.2	AC097500.2
CRLS1	CRLS1
PCCA-AS1	PCCA-AS1
GOLPH3L	GOLPH3L
VPS4A	VPS4A
AC099552.2	AC099552.2
RNF25	RNF25
FBXO38	FBXO38
ASNS	ASNS
CTNNBIP1	CTNNBIP1
RP11-66N24.4	RP11-66N24.4
AC003102.3	AC003102.3
APOBR	APOBR
B4GALT4-AS1	B4GALT4-AS1
SNRPA	SNRPA
RRP8	RRP8
ZDHHC18	ZDHHC18
RN7SL798P	RN7SL798P
RTN4	RTN4
IRF2BPL	IRF2BPL
AIDA	AIDA
RP11-171I2.2	RP11-171I2.2
CCDC66	CCDC66
CTD-2531D15.4	CTD-2531D15.4
ARHGAP8	ARHGAP8
C17orf85	C17orf85
RHBDF1	RHBDF1
NEDD8	NEDD8
UBQLNL	UBQLNL
ZNF350	ZNF350
CTC-459F4.3	CTC-459F4.3
RAB27B	RAB27B
IL12RB2	IL12RB2
POLE3	POLE3
ZSCAN5B	ZSCAN5B
RAB13	RAB13
WDR76	WDR76
ABCD4	ABCD4
GLB1L2	GLB1L2
COL15A1	COL15A1
RN7SL171P	RN7SL171P
S1PR1	S1PR1
FAM89A	FAM89A
SLAMF6	SLAMF6
ZCRB1	ZCRB1
RNF208	RNF208
ZFP2	ZFP2
VAPB	VAPB
AC103828.1	AC103828.1
MAPRE2	MAPRE2
PMM2	PMM2
ZNF236	ZNF236
ARPC5	ARPC5
CCNE2	CCNE2
RP11-634H22.1	RP11-634H22.1
CTBP1-AS2	CTBP1-AS2
RANBP17	RANBP17
DSCC1	DSCC1
ERLIN1	ERLIN1
BOD1	BOD1
OSBP2	OSBP2
CTD-2083E4.6	CTD-2083E4.6
BICD1	BICD1
RPRD2	RPRD2
SLK	SLK
RP11-34P13.9	RP11-34P13.9
RP11-312B8.1	RP11-312B8.1
ZNF713	ZNF713
AXIN2	AXIN2
C17orf64	C17orf64
MTMR11	MTMR11
FAM172A	FAM172A
