Probe_ID	Gene_Symbol
ARF5	ARF5
M6PR	M6PR
ESRRA	ESRRA
FKBP4	FKBP4
CYP26B1	CYP26B1
NDUFAF7	NDUFAF7
FUCA2	FUCA2
DBNDD1	DBNDD1
HS3ST1	HS3ST1
SEMA3F	SEMA3F
CFTR	CFTR
CYP51A1	CYP51A1
USP28	USP28
STPG1	STPG1
NIPAL3	NIPAL3
TMEM176A	TMEM176A
SLC7A2	SLC7A2
HSPB6	HSPB6
ZNF195	ZNF195
PDK4	PDK4
CCL26	CCL26
USH1C	USH1C
RALA	RALA
BCAP29	BCAP29
BAIAP2L1	BAIAP2L1
CACNG3	CACNG3
TMEM132A	TMEM132A
DVL2	DVL2
GGCT	GGCT
RPAP3	RPAP3
IFRD1	IFRD1
UPP2	UPP2
PRSS21	PRSS21
HOXA11	HOXA11
CX3CL1	CX3CL1
PRR5	PRR5
TRAPPC6A	TRAPPC6A
SPATA20	SPATA20
CEACAM7	CEACAM7
CD79B	CD79B
RHBDD2	RHBDD2
RPUSD1	RPUSD1
TSR3	TSR3
OSBPL7	OSBPL7
ARHGAP33	ARHGAP33
NDUFAB1	NDUFAB1
YBX2	YBX2
PDK2	PDK2
ITGA3	ITGA3
KRT33A	KRT33A
LRRC23	LRRC23
IL32	IL32
TFAP2D	TFAP2D
SPRTN	SPRTN
CRY1	CRY1
MAPK8IP2	MAPK8IP2
PGLYRP1	PGLYRP1
STARD3NL	STARD3NL
CAMK1G	CAMK1G
CD9	CD9
CD74	CD74
RPS20	RPS20
DYRK4	DYRK4
FAM76A	FAM76A
MGST1	MGST1
CPA1	CPA1
SYPL1	SYPL1
RANBP9	RANBP9
CD4	CD4
PLEKHG6	PLEKHG6
SS18L2	SS18L2
VPS13D	VPS13D
TSPAN9	TSPAN9
CYP4F2	CYP4F2
QPCTL	QPCTL
HIVEP2	HIVEP2
PPP5C	PPP5C
NME1	NME1
UBR7	UBR7
MAP4K5	MAP4K5
INMT	INMT
ERCC1	ERCC1
ABHD5	ABHD5
GPRC5A	GPRC5A
HEBP1	HEBP1
DNASE1L1	DNASE1L1
COX15	COX15
MS4A12	MS4A12
RGPD5	RGPD5
XYLT2	XYLT2
FTSJ1	FTSJ1
SCTR	SCTR
RALBP1	RALBP1
PSD	PSD
SYT13	SYT13
SNAI2	SNAI2
VDAC3	VDAC3
SLC7A9	SLC7A9
